stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
101127,8342,Koulukeskus P,,65.0094,24.7147,5,http://oulunliikenne.fi/8342,0,,Europe/Helsinki
307143,3364,Vedenneidontie P,,64.93498,25.564713,3,http://oulunliikenne.fi/3364,0,,Europe/Helsinki
120551,1777,Tutkijantie E,,65.05913700000002,25.448815,2,http://oulunliikenne.fi/1777,0,,Europe/Helsinki
121122,2520,Porttiväylän alikulku E,,64.954803,25.524241,2,http://oulunliikenne.fi/2520,0,,Europe/Helsinki
101732,1097,H Ylitalo P,,65.342101,25.713765,5,http://oulunliikenne.fi/1097,0,,Europe/Helsinki
120705,2003,Laanilan koulu E,,65.02404900000002,25.518592,2,http://oulunliikenne.fi/2003,0,,Europe/Helsinki
98472,1975,Hintta P,,65.028693,25.523683,2,http://oulunliikenne.fi/1975,0,,Europe/Helsinki
148082,2021,Haapalehto E,,65.022592,25.54925,2,http://oulunliikenne.fi/2021,0,,Europe/Helsinki
183971,3192,Lähimetsäntie E,,64.948802,25.565646,2,http://oulunliikenne.fi/3192,0,,Europe/Helsinki
307212,1959,Huurupolku E,,65.03081959604447,25.57182513296504,2,http://oulunliikenne.fi/1959,0,,Europe/Helsinki
101668,8003,Ponnonmäki E,,65.134802,25.793511,3,http://oulunliikenne.fi/8003,0,,Europe/Helsinki
148087,2066,Hiukkavaara P,,65.014866,25.564837,2,http://oulunliikenne.fi/2066,0,,Europe/Helsinki
120835,2168,Hakakatu P,,65.004599,25.489833,2,http://oulunliikenne.fi/2168,0,,Europe/Helsinki
148192,2809,Rahko P,,64.86528800000002,25.895674,4,http://oulunliikenne.fi/2809,0,,Europe/Helsinki
120615,1865,Meri-Toppila E,,65.044657,25.438464,2,http://oulunliikenne.fi/1865,0,,Europe/Helsinki
120370,1590,Valkoherukkatie E,,65.100212,25.41586,2,http://oulunliikenne.fi/1590,0,,Europe/Helsinki
120440,1666,Raamitie E,,65.078909,25.417063,2,http://oulunliikenne.fi/1666,0,,Europe/Helsinki
101620,1435,Nurmiojantie E,,65.160403,25.601126,3,http://oulunliikenne.fi/1435,0,,Europe/Helsinki
309389,2499,Oulunlahdentie E,,64.95945500000002,25.526173,2,http://oulunliikenne.fi/2499,0,,Europe/Helsinki
148016,3062,Ahintie P,,64.77047,25.646612,4,http://oulunliikenne.fi/3062,0,,Europe/Helsinki
101228,3069,Tyrnävän kirkko P,,64.76468800000002,25.655981,4,http://oulunliikenne.fi/3069,0,,Europe/Helsinki
148457,1307,Martinniementie E,,65.203371,25.336816,3,http://oulunliikenne.fi/1307,0,,Europe/Helsinki
120764,2072,Uimaranta E,,65.01451,25.548459,2,http://oulunliikenne.fi/2072,0,,Europe/Helsinki
120589,1822,Rantapellontie P,,65.051248,25.433001,2,http://oulunliikenne.fi/1822,0,,Europe/Helsinki
101697,1148,Pakanen E,,65.323609,25.471958,4,http://oulunliikenne.fi/1148,0,,Europe/Helsinki
187990,1648,Leppiojantie E,,65.087865,25.408001,2,http://oulunliikenne.fi/1648,0,,Europe/Helsinki
231147,2769,Sammontie P,,64.813169,25.97409,4,http://oulunliikenne.fi/2769,0,,Europe/Helsinki
97705,1256,Hätälä E,,65.268497,25.362467,4,http://oulunliikenne.fi/1256,0,,Europe/Helsinki
101701,1139,Yliranta P,,65.324885,25.497167,4,http://oulunliikenne.fi/1139,0,,Europe/Helsinki
184161,3228,Intiöntie E,,65.01686,25.498517,1,http://oulunliikenne.fi/3228,0,,Europe/Helsinki
101219,3080,Ala-Temmes E,,64.762609,25.55042,4,http://oulunliikenne.fi/3080,0,,Europe/Helsinki
120552,1778,Elektroniikkatie 3E,,65.060242,25.439443,2,http://oulunliikenne.fi/1778,0,,Europe/Helsinki
120946,2313,Maikkulantie P,,64.984763,25.565308,2,http://oulunliikenne.fi/2313,0,,Europe/Helsinki
150388,1227,Kuopionharju E,,65.301953,25.616889,4,http://oulunliikenne.fi/1227,0,,Europe/Helsinki
120637,1905,Tervahovintie E,,65.03990400000002,25.460253,2,http://oulunliikenne.fi/1905,0,,Europe/Helsinki
120692,1989,Valtatie E,,65.026793,25.465084,2,http://oulunliikenne.fi/1989,0,,Europe/Helsinki
74397,2146,OYS A6,,65.00712900000002,25.521226,2,http://oulunliikenne.fi/2146,0,,Europe/Helsinki
120648,1924,Varsitie E,,65.038099,25.465283,2,http://oulunliikenne.fi/1924,0,,Europe/Helsinki
120728,2033,Haapalehdontie E,,65.020734,25.554741,2,http://oulunliikenne.fi/2033,0,,Europe/Helsinki
120632,1889,Niittyarontie P,,65.041598,25.452298,2,http://oulunliikenne.fi/1889,0,,Europe/Helsinki
120950,2317,Kurrenkuja P,,64.984461,25.515126,2,http://oulunliikenne.fi/2317,0,,Europe/Helsinki
120784,2097,Välkkylä P,,65.011392,25.498888,2,http://oulunliikenne.fi/2097,0,,Europe/Helsinki
121056,2446,Jousenkaari P,,64.964887,25.539757,2,http://oulunliikenne.fi/2446,0,,Europe/Helsinki
